"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"929","RT @nfl_bigode: TOUCHDOWN PARA A VITORIA DOS RAIDERS!!!

Raiders 33 x 27 Ravens

JOGAÇO, INCRÍVEL!!!

#NFLnaESPN #NFLBrasil",FALSE,0,NA,2021-09-14 03:57:21,FALSE,NA,"1437626498505117696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Henriquecesar93",2,TRUE,FALSE,NA,NA
"930","kkkkkkkk que jogo maluco foi esse, ngm qria ganhar  #NFLnaESPN",FALSE,1,NA,2021-09-14 03:57:21,FALSE,NA,"1437626497167204353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rafaellacec",0,FALSE,FALSE,NA,NA
"931","Queria contar aqui pra vcs uma parada:

Os favoritos da AFC North tao na parte de baixo da tabela, tá? <U+0001F921>

#RavensFlock #NFLnaESPN",FALSE,14,NA,2021-09-14 03:57:19,FALSE,NA,"1437626490296934403",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CasaDoCorvo",0,FALSE,FALSE,NA,NA
"932","Que jogo sensacional!!!! #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:18,FALSE,NA,"1437626485972652032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pauloroblima",0,FALSE,FALSE,NA,NA
"933","RT @PackersBR: ACABOOOOOOUUUU, AGORA SIM!!!

QUE JOGAÇO, VAI SER DIFÍCIL UM JOGO MELHOR QUE ESSE NA TEMPORADA!

ESPETÁCULO, ESPETÁCULO!

O…",FALSE,0,NA,2021-09-14 03:57:18,FALSE,NA,"1437626485808971777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","felix_mt",16,TRUE,FALSE,NA,NA
"934","JOGAÇOOOOOOOO

#NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:17,FALSE,NA,"1437626480348049408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CauaLopesf",0,FALSE,FALSE,NA,NA
"935","NFL É MUITO BOM QUE EMOÇAO
#NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:17,FALSE,NA,"1437626480171835399",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Micabertholdo",0,FALSE,FALSE,NA,NA
"936","O QUE FOI ESSE PASSE DO DEREK CARR PRA GANHAR O JOGO?????? QUE PASSE SURREAL, QUE JOGO SURREAL, EU AMO A NFL, NÃO TEM COMO #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:15,FALSE,NA,"1437626474438213636",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pedroomayer_",0,FALSE,FALSE,NA,NA
"937","Tomara que as outras 16 semanas sejam como essa. Que jogo! Que semana 1! #NFL #NFLnaESPN #NFLBrasil",FALSE,1,NA,2021-09-14 03:57:15,FALSE,NA,"1437626473876176897",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EuGabriel86",0,FALSE,FALSE,NA,NA
"938","Eu amo meu grupo. @gabrielrseilhe e @FlaviaCordovez as melhores figurinhas sempre. <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923> Ah LamareLou… https://t.co/6IGOE4p6yw",FALSE,4,NA,2021-09-14 03:57:14,TRUE,NA,"1437626469929324549",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LiliBroncos",0,FALSE,FALSE,NA,NA
"939","Mais um jogo espetacular da NFL

QUEM NÃO GOSTA DESSE ESPORTE É MALUCO

#NFLnaESPN",FALSE,5,NA,2021-09-14 03:57:13,FALSE,NA,"1437626465638551556",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trickfladadepre",0,FALSE,FALSE,NA,NA
"940","RT @ariaguiar: Cara. Hahahaha. Os caras não param de fazer besteira. Incrível. #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:13,FALSE,NA,"1437626464267034624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tribbiani_joeyy",8,TRUE,FALSE,NA,NA
"941","Aleluia a coisa mais bizarra do mundo esse jogo entre @Ravens x @Raiders #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:12,FALSE,NA,"1437626460697731074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarcFigueiredo2",0,FALSE,FALSE,NA,NA
"942","RT @PackersBR: ACABOOOOOOUUUU, AGORA SIM!!!

QUE JOGAÇO, VAI SER DIFÍCIL UM JOGO MELHOR QUE ESSE NA TEMPORADA!

ESPETÁCULO, ESPETÁCULO!

O…",FALSE,0,NA,2021-09-14 03:57:12,FALSE,NA,"1437626459032596485",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PProvenzano18",16,TRUE,FALSE,NA,NA
"943","Me dá um jogo desses por semana por favorrrrr #NFLnaESPN #NFL #NFLTwitter",FALSE,0,NA,2021-09-14 03:57:11,FALSE,NA,"1437626455559651332",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuizFLecio",0,FALSE,FALSE,NA,NA
"944","Estava escrevendo que os Raiders precisam URGENTEMENTE de um @10neto na vida deles para ver se acordam.

BOOM, TD g… https://t.co/Ysh7xan89G",FALSE,2,NA,2021-09-14 03:57:10,TRUE,NA,"1437626449687715844",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AZPater",0,FALSE,FALSE,NA,NA
"945","A defesa do Baltimore é uma bosta #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:09,FALSE,NA,"1437626449201094658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PyetroB_",0,FALSE,FALSE,NA,NA
"946","@NFL_Memes Lamar Jackson pipoqueiro  !!! #NFLnaESPN",FALSE,0,"NFL_Memes",2021-09-14 03:57:09,FALSE,"1437626000314191875","1437626446634160132","492566290","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","junior_blazzi",0,FALSE,FALSE,NA,NA
"947","QUE JOGO INCRÍVEL! 

Vitória dos Raiders! Carr faz passe de 31 jardas para Jones matar a partida na prorrogação; VE… https://t.co/n4gn7P05DO",FALSE,223,NA,2021-09-14 03:57:09,TRUE,NA,"1437626446516740096",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","ESPNBrasil",15,FALSE,FALSE,NA,NA
"948","Dá licença... Que jogo maluco #RaiderNation #Ravens #NFLnaESPN https://t.co/uKsB7hppLf",FALSE,0,NA,2021-09-14 03:57:08,FALSE,NA,"1437626444771962885",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marciom20",0,FALSE,FALSE,NA,NA
"949","Que jogo!! #NFLnaESPN",FALSE,1,NA,2021-09-14 03:57:08,FALSE,NA,"1437626443392036870",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rafael__000",0,FALSE,FALSE,NA,NA
"950","Que isso mano, tenho coração para ficar vendo esse jogo não hahaha finalmente acabou e finalmente com um touchdown da vitória #NFLnaESPN",FALSE,1,NA,2021-09-14 03:57:08,FALSE,NA,"1437626441085108227",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","klebercarvalho_",0,FALSE,FALSE,NA,NA
"951","RT @jacquelinearq: Se a sua reação não foi essa: tu tá errado! #NFLnaESPN https://t.co/901T0hZ6hk",FALSE,0,NA,2021-09-14 03:57:07,FALSE,NA,"1437626438975467520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ceilanjah",4,TRUE,FALSE,NA,NA
"952","RT @Marcelodedois: como é difícil esse Raiders… meu Deus 

 #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:06,FALSE,NA,"1437626436785999872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","medianohulk",30,TRUE,FALSE,NA,NA
"953","RT @piadas_nfl: MEU DEUS ESSE JOGO É A PERSONIFICAÇÃO DE DEDO NO CU E GRITARIA!

#NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:06,FALSE,NA,"1437626436538490888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tom_lv_",24,TRUE,FALSE,NA,NA
"954","Assim como a NFC oeste, a AFC oeste tem os quatro times  com 1-0

#NFLnaESPN #nfl #MNF",FALSE,0,NA,2021-09-14 03:57:06,FALSE,NA,"1437626433099210761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tcg277",0,FALSE,FALSE,NA,NA
"955","Eu não imaginava que esse jogo séria assim, Q coisa maravilhosa, NFL SUA LINDA SEJA MUITO BEM VINDA DE VOLTA!. haja… https://t.co/04v6M99JmL",FALSE,0,NA,2021-09-14 03:57:05,TRUE,NA,"1437626429622169602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VMartinz97",0,FALSE,FALSE,NA,NA
"956","Que jogo foi esse? Gente, sem fôlego aqui hein, a ADM tá nervosa! COMO QUE DORME AGORA? #NFLnaESPN https://t.co/fSDJELM1dp",FALSE,39,NA,2021-09-14 03:57:03,FALSE,NA,"1437626423422996480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theplayoffsbr",3,FALSE,FALSE,NA,NA
"957","SEM TEMPO IRMÃO!
Que Field Goal o que! Derek Carr jogou a bola para o alto e ela caiu na colo de Z. Jones que agarr… https://t.co/2C44tOO4FU",FALSE,0,NA,2021-09-14 03:57:03,TRUE,NA,"1437626423313944578",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_SportsBR",0,FALSE,FALSE,NA,NA
"958","Darth Vader agiu hoje.

#NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:03,FALSE,NA,"1437626423150264322",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobertoScarpati",0,FALSE,FALSE,NA,NA
"959","Semana 1 com viradas gigantescas Steelers, Chiefs e Raiders. E tem mais por vir, que maravilha #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:03,FALSE,NA,"1437626421317414913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alegratao",0,FALSE,FALSE,NA,NA
"960","Que jogo espetacular!!!! #NFLnaESPN @pauloantunes @_FNARDINI",FALSE,0,NA,2021-09-14 03:57:03,FALSE,NA,"1437626420482777088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pedroiscastro",0,FALSE,FALSE,NA,NA
"961","É isso aí, Raiders. Finaliza essa bagaça num lançamento foda do Derek Carr. Que isso. Que jogo! #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:02,FALSE,NA,"1437626419819995144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WiHoudini",0,FALSE,FALSE,NA,NA
"962","Agora valeu!!! Raiders venceram o jogo que ninguém queria vencer! Hahahahah. Nunca desista de um jogo da #NFL! #NFLnaESPN",FALSE,0,NA,2021-09-14 03:57:00,FALSE,NA,"1437626408763854851",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edumolina11",0,FALSE,FALSE,NA,NA
"963","Ganhamos !!! Agora foi.
Chupa LAMAR anti vacina 
Caça ao passarinho completa 
RAIDER NATION JUST WIN BABY… https://t.co/Wf5LP8o9Q5",FALSE,1,NA,2021-09-14 03:56:59,TRUE,NA,"1437626403973959686",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thiagojadao",1,FALSE,FALSE,NA,NA
"964","ACABOO CARAI!
Perdemos, mas agora eu posso ir dormir!!
#NFLnaESPN",FALSE,0,NA,2021-09-14 03:56:58,FALSE,NA,"1437626400115236864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ockto",0,FALSE,FALSE,NA,NA
"965","Uma chamada abusada do Raiders! #NFLnaESPN",FALSE,0,NA,2021-09-14 03:56:57,FALSE,NA,"1437626396210311179",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulocrepaldi",0,FALSE,FALSE,NA,NA
"966","RT @theplayoffsbr: AGORA SIIIIIIIIM… ACABOOOOOU!

Os Raiders venceraaaaaam! #NFLnaESPN https://t.co/y59s4Km4Ne",FALSE,0,NA,2021-09-14 03:56:56,FALSE,NA,"1437626391412068353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ceilanjah",4,TRUE,FALSE,NA,NA
